,Accession,Geo_Location,s-gene_location,gene_length,protein_id,protein_length
1142,MT370970,USA,[21500:25322](+),3822.0,QJD24941.1,1273.0
1143,MT370971,USA,[21507:25329](+),3822.0,QJD24953.1,1273.0
1144,MT370972,USA,[21507:25329](+),3822.0,QJD24965.1,1273.0
1145,MT370973,USA,[21499:25321](+),3822.0,QJD24977.1,1273.0
1146,MT370974,USA,[21498:25320](+),3822.0,QJD24989.1,1273.0
1147,MT370975,USA,[21507:25329](+),3822.0,QJD25001.1,1273.0
1148,MT370976,USA,[21507:25329](+),3822.0,QJD25013.1,1273.0
1149,MT370977,USA,[21498:25320](+),3822.0,QJD25025.1,1273.0
1150,MT370978,USA,[21507:25329](+),3822.0,QJD25037.1,1273.0
1151,MT370979,USA,[21500:25322](+),3822.0,QJD25049.1,1273.0
1152,MT370980,USA,[21507:25329](+),3822.0,QJD25061.1,1273.0
1153,MT370981,USA,[21498:25320](+),3822.0,QJD25073.1,1273.0
1154,MT370982,USA,[21507:25329](+),3822.0,QJD25085.1,1273.0
1155,MT370983,USA,[21500:25322](+),3822.0,QJD25097.1,1273.0
1156,MT370984,USA,[21498:25320](+),3822.0,QJD25109.1,1273.0
1157,MT370985,USA,[21510:25332](+),3822.0,QJD25121.1,1273.0
1158,MT370986,USA,[21500:25322](+),3822.0,QJD25133.1,1273.0
1159,MT370987,USA,[21507:25329](+),3822.0,QJD25145.1,1273.0
1160,MT370988,USA,[21507:25329](+),3822.0,QJD25157.1,1273.0
1161,MT370989,USA,[21498:25320](+),3822.0,QJD25169.1,1273.0
1162,MT370990,USA,[21497:25319](+),3822.0,QJD25181.1,1273.0
1163,MT370991,USA,[21498:25320](+),3822.0,QJD25193.1,1273.0
1165,MT370993,USA,[21502:25324](+),3822.0,QJD25217.1,1273.0
1166,MT370994,USA,[21507:25329](+),3822.0,QJD25229.1,1273.0
1167,MT370995,USA,[21498:25320](+),3822.0,QJD25241.1,1273.0
1168,MT370996,USA,[21551:25373](+),3822.0,QJD25253.1,1273.0
1169,MT370997,USA,[21498:25320](+),3822.0,QJD25265.1,1273.0
1170,MT370998,USA,[21507:25329](+),3822.0,QJD25277.1,1273.0
1171,MT370999,USA,[21499:25321](+),3822.0,QJD25289.1,1273.0
1172,MT371000,USA,[21507:25329](+),3822.0,QJD25301.1,1273.0
1173,MT371001,USA,[21507:25329](+),3822.0,QJD25313.1,1273.0
1174,MT371002,USA,[21498:25320](+),3822.0,QJD25325.1,1273.0
1175,MT371003,USA,[21505:25327](+),3822.0,QJD25346.1,1273.0
1176,MT371004,USA,[21498:25320](+),3822.0,QJD25349.1,1273.0
1177,MT371005,USA,[21498:25320](+),3822.0,QJD25361.1,1273.0
1178,MT371006,USA,[21507:25329](+),3822.0,QJD25373.1,1273.0
1179,MT371007,USA,[21500:25322](+),3822.0,QJD25385.1,1273.0
1180,MT371008,USA,[21507:25329](+),3822.0,QJD25397.1,1273.0
1181,MT371009,USA,[21507:25329](+),3822.0,QJD25409.1,1273.0
1182,MT371010,USA,[21498:25320](+),3822.0,QJD25421.1,1273.0
1184,MT371012,USA,[21507:25329](+),3822.0,QJD25445.1,1273.0
1185,MT371013,USA,[21507:25329](+),3822.0,QJD25457.1,1273.0
1186,MT371014,USA,[21449:25271](+),3822.0,QJD25467.1,1273.0
1187,MT371015,USA,[21507:25329](+),3822.0,QJD25481.1,1273.0
1188,MT371016,USA,[21507:25329](+),3822.0,QJD25493.1,1273.0
1189,MT371017,USA,[21507:25329](+),3822.0,QJD25505.1,1273.0
1190,MT371018,USA,[21507:25329](+),3822.0,QJD25517.1,1273.0
1191,MT371019,USA,[21507:25329](+),3822.0,QJD25529.1,1273.0
1192,MT371020,USA,[21478:25300](+),3822.0,QJD25541.1,1273.0
1193,MT371021,USA,[21498:25320](+),3822.0,QJD25553.1,1273.0
1194,MT371022,USA,[21498:25320](+),3822.0,QJD25565.1,1273.0
1195,MT371023,USA,[21507:25329](+),3822.0,QJD25577.1,1273.0
1196,MT371024,USA,[21490:25312](+),3822.0,QJD25589.1,1273.0
1197,MT371025,USA,[21498:25320](+),3822.0,QJD25601.1,1273.0
1198,MT371026,USA,[21507:25329](+),3822.0,QJD25613.1,1273.0
1199,MT371027,USA,[21507:25329](+),3822.0,QJD25625.1,1273.0
1200,MT371028,USA,[21507:25329](+),3822.0,QJD25637.1,1273.0
1201,MT371029,USA,[21507:25329](+),3822.0,QJD25649.1,1273.0
1202,MT371030,USA,[21500:25322](+),3822.0,QJD25661.1,1273.0
1203,MT371031,USA,[21489:25311](+),3822.0,QJD25672.1,1273.0
1204,MT371032,USA,[21498:25320](+),3822.0,QJD25685.1,1273.0
1205,MT371033,USA,[21507:25329](+),3822.0,QJD25697.1,1273.0
1206,MT371034,USA,[21515:25337](+),3822.0,QJD25709.1,1273.0
1207,MT371035,USA,[21507:25329](+),3822.0,QJD25721.1,1273.0
1208,MT371036,USA,[21507:25329](+),3822.0,QJD25733.1,1273.0
1209,MT371037,USA,[21498:25320](+),3822.0,QJD25745.1,1273.0
1210,MT371038,USA,[21507:25329](+),3822.0,QJD25757.1,1273.0
1211,MT371047,Sri Lanka,[21562:25384](+),3822.0,QJD20837.1,1273.0
1212,MT371048,Sri Lanka,[21562:25384](+),3822.0,QJD20849.1,1273.0
1213,MT371049,Sri Lanka,[21562:25384](+),3822.0,QJD20861.1,1273.0
1214,MT371050,Sri Lanka,[21562:25384](+),3822.0,QJD20873.1,1273.0
1215,MT371568,Czech Republic,[21438:25260](+),3822.0,QJD23141.1,1273.0
1216,MT371569,Czech Republic,[21488:25310](+),3822.0,QJD23153.1,1273.0
1217,MT371570,Czech Republic,[21454:25276](+),3822.0,QJD23165.1,1273.0
1218,MT371571,Czech Republic,[21454:25276](+),3822.0,QJD23177.1,1273.0
1219,MT371572,Czech Republic,[21454:25276](+),3822.0,QJD23189.1,1273.0
1220,MT371573,Czech Republic,[21454:25276](+),3822.0,QJD23201.1,1273.0
1221,MT371574,Czech Republic,[21454:25276](+),3822.0,QJD23213.1,1273.0
1222,MT372480,Malaysia,[21527:25349](+),3822.0,QJD23225.1,1273.0
1223,MT372481,Malaysia,[21557:25379](+),3822.0,QJD23237.1,1273.0
1224,MT372482,Malaysia,[21524:25346](+),3822.0,QJD23249.1,1273.0
1225,MT372483,Malaysia,[21242:25064](+),3822.0,QJD23270.1,1273.0
1228,LC542976,Japan,[21562:25384](+),3822.0,BCD58753.1,1273.0
1229,LC542809,Japan,[21562:25384](+),3822.0,BCD57643.1,1273.0
1230,MT114412,Hong Kong,[21560:25382](+),3822.0,QIG55865.1,1273.0
1231,MT114413,Hong Kong,[21562:25384](+),3822.0,QIG55875.1,1273.0
1232,MT114414,Hong Kong,[21562:25384](+),3822.0,QIG55885.1,1273.0
1233,MT114415,Hong Kong,[21562:25384](+),3822.0,QIG55895.1,1273.0
1234,MT114416,Hong Kong,[21538:25360](+),3822.0,QIG55905.1,1273.0
1235,MT114417,Hong Kong,[21562:25384](+),3822.0,QIG55915.1,1273.0
1236,MT114418,Hong Kong,[21562:25384](+),3822.0,QIG55925.1,1273.0
1237,MT114419,Hong Kong,[21538:25360](+),3822.0,QIG55935.1,1273.0
1238,MT230904,Hong Kong,[21562:25384](+),3822.0,QJC20993.1,1273.0
1239,MT358401,USA,[21554:25376](+),3822.0,QJC21029.1,1273.0
1240,MT358402,USA,[21555:25377](+),3822.0,QJC21041.1,1273.0
1241,MT358637,India,[21562:25384](+),3822.0,QJC19491.1,1273.0
1242,MT358644,USA,[21538:25360](+),3822.0,QJC19503.1,1273.0
1243,MT358645,USA,[21531:25353](+),3822.0,QJC19515.1,1273.0
1244,MT358646,USA,[21560:25382](+),3822.0,QJC19527.1,1273.0
1245,MT358647,USA,[21560:25382](+),3822.0,QJC19539.1,1273.0
1246,MT358648,USA,[21531:25353](+),3822.0,QJC19551.1,1273.0
1247,MT358649,USA,[21561:25383](+),3822.0,QJC19563.1,1273.0
1248,MT358650,USA,[21532:25354](+),3822.0,QJC19575.1,1273.0
1249,MT358651,USA,[21533:25355](+),3822.0,QJC19587.1,1273.0
1250,MT358652,USA,[21531:25353](+),3822.0,QJC19599.1,1273.0
1251,MT358653,USA,[21545:25367](+),3822.0,QJC19611.1,1273.0
1252,MT358654,USA,[21531:25353](+),3822.0,QJC19623.1,1273.0
1253,MT358655,USA,[21538:25360](+),3822.0,QJC19635.1,1273.0
1254,MT358656,USA,[21553:25375](+),3822.0,QJC19647.1,1273.0
1255,MT358657,USA,[21562:25384](+),3822.0,QJC19659.1,1273.0
1256,MT358658,USA,[21551:25373](+),3822.0,QJC19671.1,1273.0
1257,MT358659,USA,[21540:25362](+),3822.0,QJC19683.1,1273.0
1258,MT358660,USA,[21533:25355](+),3822.0,QJC19695.1,1273.0
1259,MT358661,USA,[21532:25354](+),3822.0,QJC19707.1,1273.0
1260,MT358662,USA,[21552:25374](+),3822.0,QJC19719.1,1273.0
1261,MT358663,USA,[21531:25353](+),3822.0,QJC19731.1,1273.0
1262,MT358664,USA,[21521:25343](+),3822.0,QJC19743.1,1273.0
1263,MT358665,USA,[21532:25354](+),3822.0,QJC19755.1,1273.0
1264,MT358666,USA,[21531:25353](+),3822.0,QJC19767.1,1273.0
1265,MT358667,USA,[21555:25377](+),3822.0,QJC19779.1,1273.0
1266,MT358668,USA,[21532:25354](+),3822.0,QJC19791.1,1273.0
1267,MT358669,USA,[21552:25374](+),3822.0,QJC19803.1,1273.0
1268,MT358670,USA,[21526:25348](+),3822.0,QJC19815.1,1273.0
1269,MT358671,USA,[21554:25376](+),3822.0,QJC19827.1,1273.0
1270,MT358672,USA,[21532:25354](+),3822.0,QJC19839.1,1273.0
1271,MT358673,USA,[21531:25353](+),3822.0,QJC19851.1,1273.0
1272,MT358674,USA,[21513:25335](+),3822.0,QJC19863.1,1273.0
1273,MT358675,USA,[21560:25382](+),3822.0,QJC19875.1,1273.0
1274,MT358676,USA,[21513:25335](+),3822.0,QJC19887.1,1273.0
1275,MT358677,USA,[21531:25353](+),3822.0,QJC19899.1,1273.0
1276,MT358678,USA,[21532:25354](+),3822.0,QJC19911.1,1273.0
1277,MT358679,USA,[21532:25354](+),3822.0,QJC19923.1,1273.0
1278,MT358680,USA,[21515:25337](+),3822.0,QJC19935.1,1273.0
1279,MT358681,USA,[21531:25353](+),3822.0,QJC19947.1,1273.0
1280,MT358682,USA,[21532:25354](+),3822.0,QJC19959.1,1273.0
1281,MT358683,USA,[21532:25354](+),3822.0,QJC19971.1,1273.0
1282,MT358684,USA,[21561:25383](+),3822.0,QJC19983.1,1273.0
1283,MT358685,USA,[21531:25353](+),3822.0,QJC19995.1,1273.0
1284,MT358686,USA,[21513:25335](+),3822.0,QJC20007.1,1273.0
1285,MT358687,USA,[21556:25378](+),3822.0,QJC20019.1,1273.0
1286,MT358688,USA,[21549:25371](+),3822.0,QJC20031.1,1273.0
1287,MT358689,USA,[21531:25353](+),3822.0,QJC20043.1,1273.0
1288,MT358690,USA,[21552:25374](+),3822.0,QJC20055.1,1273.0
1289,MT358691,USA,[21533:25355](+),3822.0,QJC20067.1,1273.0
1290,MT358692,USA,[21530:25352](+),3822.0,QJC20079.1,1273.0
1291,MT358693,USA,[21532:25354](+),3822.0,QJC20091.1,1273.0
1292,MT358694,USA,[21542:25364](+),3822.0,QJC20103.1,1273.0
1293,MT358695,USA,[21556:25378](+),3822.0,QJC20115.1,1273.0
1294,MT358696,USA,[21556:25378](+),3822.0,QJC20127.1,1273.0
1295,MT358697,USA,[21513:25335](+),3822.0,QJC20139.1,1273.0
1296,MT358698,USA,[21552:25374](+),3822.0,QJC20151.1,1273.0
1297,MT358699,USA,[21531:25353](+),3822.0,QJC20163.1,1273.0
1298,MT358700,USA,[21549:25371](+),3822.0,QJC20175.1,1273.0
1299,MT358701,USA,[21532:25354](+),3822.0,QJC20187.1,1273.0
1300,MT358702,USA,[21548:25370](+),3822.0,QJC20199.1,1273.0
1301,MT358703,USA,[21553:25375](+),3822.0,QJC20211.1,1273.0
1302,MT358704,USA,[21560:25382](+),3822.0,QJC20223.1,1273.0
1303,MT358705,USA,[21562:25384](+),3822.0,QJC20235.1,1273.0
1304,MT358706,USA,[21562:25384](+),3822.0,QJC20247.1,1273.0
1305,MT358707,USA,[21513:25335](+),3822.0,QJC20259.1,1273.0
1306,MT358708,USA,[21420:25242](+),3822.0,QJC20271.1,1273.0
1307,MT358709,USA,[21532:25354](+),3822.0,QJC20283.1,1273.0
1308,MT358710,USA,[21532:25354](+),3822.0,QJC20295.1,1273.0
1309,MT358711,USA,[21538:25360](+),3822.0,QJC20307.1,1273.0
1310,MT358712,USA,[21531:25353](+),3822.0,QJC20319.1,1273.0
1311,MT358713,USA,[21533:25355](+),3822.0,QJC20331.1,1273.0
1312,MT358714,USA,[21526:25348](+),3822.0,QJC20343.1,1273.0
1313,MT358715,USA,[21560:25382](+),3822.0,QJC20355.1,1273.0
1314,MT358716,USA,[21561:25383](+),3822.0,QJC20367.1,1273.0
1315,MT358717,USA,[21548:25370](+),3822.0,QJC20379.1,1273.0
1316,MT358718,USA,[21562:25384](+),3822.0,QJC20391.1,1273.0
1317,MT358719,USA,[21555:25377](+),3822.0,QJC20403.1,1273.0
1318,MT358720,USA,[21492:25314](+),3822.0,QJC20415.1,1273.0
1319,MT358721,USA,[21532:25354](+),3822.0,QJC20427.1,1273.0
1320,MT358722,USA,[21543:25365](+),3822.0,QJC20439.1,1273.0
1321,MT358723,USA,[21557:25379](+),3822.0,QJC20451.1,1273.0
1322,MT358724,USA,[21531:25353](+),3822.0,QJC20463.1,1273.0
1323,MT358725,USA,[21531:25353](+),3822.0,QJC20475.1,1273.0
1324,MT358726,USA,[21519:25341](+),3822.0,QJC20487.1,1273.0
1325,MT358727,USA,[21368:25190](+),3822.0,QJC20499.1,1273.0
1326,MT358728,USA,[21533:25355](+),3822.0,QJC20510.1,1273.0
1327,MT358729,USA,[21515:25337](+),3822.0,QJC20522.1,1273.0
1328,MT358730,USA,[21531:25353](+),3822.0,QJC20534.1,1273.0
1329,MT358731,USA,[21465:25287](+),3822.0,QJC20546.1,1273.0
1330,MT358732,USA,[21513:25335](+),3822.0,QJC20558.1,1273.0
1331,MT358733,USA,[21531:25353](+),3822.0,QJC20570.1,1273.0
1332,MT358734,USA,[21562:25384](+),3822.0,QJC20582.1,1273.0
1333,MT358735,USA,[21531:25353](+),3822.0,QJC20594.1,1273.0
1334,MT358736,USA,[21562:25384](+),3822.0,QJC20606.1,1273.0
1335,MT358737,USA,[21528:25350](+),3822.0,QJC20618.1,1273.0
1336,MT358738,USA,[21524:25346](+),3822.0,QJC20630.1,1273.0
1337,MT358739,USA,[21531:25353](+),3822.0,QJC20642.1,1273.0
1338,MT358740,USA,[21555:25377](+),3822.0,QJC20654.1,1273.0
1339,MT358741,USA,[21548:25370](+),3822.0,QJC20666.1,1273.0
1340,MT358742,USA,[21548:25370](+),3822.0,QJC20678.1,1273.0
1341,MT358743,USA,[21543:25365](+),3822.0,QJC20690.1,1273.0
1342,MT358744,USA,[21556:25378](+),3822.0,QJC20702.1,1273.0
1343,MT358745,USA,[21507:25329](+),3822.0,QJC20714.1,1273.0
1344,MT358746,USA,[21497:25319](+),3822.0,QJC20726.1,1273.0
1345,MT358747,USA,[21546:25368](+),3822.0,QJC20738.1,1273.0
1346,MT358748,USA,[21537:25359](+),3822.0,QJC20750.1,1273.0
1347,MT359231,Serbia,[0:3822](+),3822.0,QJC21051.1,1273.0
1348,MT359865,Spain,[21549:25371](+),3822.0,QJC21005.1,1273.0
1349,MT359866,Spain,[21552:25374](+),3822.0,QJC21017.1,1273.0
1351,MT350236,USA,[21524:25346](+),3822.0,QJA41985.1,1273.0
1352,MT350237,USA,[21525:25347](+),3822.0,QJA41997.1,1273.0
1353,MT350238,USA,[21527:25349](+),3822.0,QJA42009.1,1273.0
1354,MT350239,USA,[21556:25378](+),3822.0,QJA42021.1,1273.0
1355,MT350240,USA,[21558:25380](+),3822.0,QJA42033.1,1273.0
1356,MT350241,USA,[21558:25380](+),3822.0,QJA42045.1,1273.0
1357,MT350242,USA,[21524:25346](+),3822.0,QJA42057.1,1273.0
1358,MT350243,USA,[21556:25378](+),3822.0,QJA42069.1,1273.0
1359,MT350244,USA,[21562:25384](+),3822.0,QJA42081.1,1273.0
1360,MT350245,USA,[21556:25378](+),3822.0,QJA42093.1,1273.0
1361,MT350246,USA,[21556:25378](+),3822.0,QJA42105.1,1273.0
1362,MT350247,USA,[21542:25364](+),3822.0,QJA42117.1,1273.0
1363,MT350248,USA,[21524:25346](+),3822.0,QJA42129.1,1273.0
1364,MT350249,USA,[21550:25372](+),3822.0,QJA42141.1,1273.0
1365,MT350250,USA,[21559:25381](+),3822.0,QJA42153.1,1273.0
1366,MT350251,USA,[21546:25368](+),3822.0,QJA42165.1,1273.0
1367,MT350252,USA,[21553:25375](+),3822.0,QJA42177.1,1273.0
1368,MT350253,USA,[21558:25380](+),3822.0,QJA42189.1,1273.0
1369,MT350254,USA,[21561:25383](+),3822.0,QJA42201.1,1273.0
1370,MT350255,USA,[21558:25380](+),3822.0,QJA42213.1,1273.0
1371,MT350256,USA,[21540:25362](+),3822.0,QJA42225.1,1273.0
1372,MT350257,USA,[21556:25378](+),3822.0,QJA42237.1,1273.0
1373,MT350263,USA,[21562:25384](+),3822.0,QJA41653.1,1273.0
1374,MT350264,USA,[21562:25384](+),3822.0,QJA41665.1,1273.0
1375,MT350265,USA,[21562:25384](+),3822.0,QJA41677.1,1273.0
1376,MT350266,USA,[21562:25384](+),3822.0,QJA41689.1,1273.0
1377,MT350267,USA,[21562:25384](+),3822.0,QJA41701.1,1273.0
1378,MT350268,USA,[21562:25384](+),3822.0,QJA41713.1,1273.0
1379,MT350269,USA,[21562:25384](+),3822.0,QJA41725.1,1273.0
1380,MT350270,USA,[21562:25384](+),3822.0,QJA41737.1,1273.0
1381,MT350271,USA,[21562:25384](+),3822.0,QJA41749.1,1273.0
1382,MT350272,USA,[21562:25384](+),3822.0,QJA41761.1,1273.0
1383,MT350273,USA,[21562:25384](+),3822.0,QJA41773.1,1273.0
1384,MT350274,USA,[21562:25384](+),3822.0,QJA41785.1,1273.0
1385,MT350275,USA,[21562:25384](+),3822.0,QJA41797.1,1273.0
1386,MT350276,USA,[21562:25384](+),3822.0,QJA41809.1,1273.0
1387,MT350277,USA,[21562:25384](+),3822.0,QJA41821.1,1273.0
1388,MT350278,USA,[21562:25384](+),3822.0,QJA41833.1,1273.0
1389,MT350279,USA,[21562:25384](+),3822.0,QJA41845.1,1273.0
1390,MT350280,USA,[21562:25384](+),3822.0,QJA41857.1,1273.0
1391,MT350282,Brazil,[21562:25384](+),3822.0,QJA41641.1,1273.0
1393,MT344944,USA,[21562:25384](+),3822.0,QJA17524.1,1273.0
1394,MT344945,USA,[21562:25384](+),3822.0,QJA17536.1,1273.0
1395,MT344946,USA,[21562:25384](+),3822.0,QJA17548.1,1273.0
1396,MT344947,USA,[21562:25384](+),3822.0,QJA17560.1,1273.0
1397,MT344948,USA,[21562:25384](+),3822.0,QJA17572.1,1273.0
1398,MT344949,USA,[21562:25384](+),3822.0,QJA17584.1,1273.0
1399,MT344950,USA,[21562:25384](+),3822.0,QJA17596.1,1273.0
1400,MT344951,USA,[21562:25384](+),3822.0,QJA17608.1,1273.0
1401,MT344952,USA,[21562:25384](+),3822.0,QJA17620.1,1273.0
1402,MT344953,USA,[21562:25384](+),3822.0,QJA17632.1,1273.0
1403,MT344954,USA,[21562:25384](+),3822.0,QJA17644.1,1273.0
1404,MT344955,USA,[21556:25378](+),3822.0,QJA17656.1,1273.0
1405,MT344956,USA,[21556:25378](+),3822.0,QJA17668.1,1273.0
1406,MT344957,USA,[21556:25378](+),3822.0,QJA17680.1,1273.0
1407,MT344958,USA,[21556:25378](+),3822.0,QJA17692.1,1273.0
1408,MT344959,USA,[21562:25384](+),3822.0,QJA17704.1,1273.0
1409,MT344960,USA,[21562:25384](+),3822.0,QJA17716.1,1273.0
1410,MT344961,USA,[21559:25381](+),3822.0,QJA17728.1,1273.0
1411,MT344962,USA,[21559:25381](+),3822.0,QJA17740.1,1273.0
1412,MT344963,USA,[21562:25384](+),3822.0,QJA17752.1,1273.0
1413,MT345798,USA,[21531:25353](+),3822.0,QJA16400.1,1273.0
1414,MT345799,USA,[21306:25128](+),3822.0,QJA16412.1,1273.0
1415,MT345800,USA,[21387:25209](+),3822.0,QJA16422.1,1273.0
1416,MT345801,USA,[21481:25303](+),3822.0,QJA16436.1,1273.0
1417,MT345802,USA,[21531:25353](+),3822.0,QJA16448.1,1273.0
1418,MT345803,USA,[21556:25378](+),3822.0,QJA16460.1,1273.0
1419,MT345804,USA,[21253:25075](+),3822.0,QJA16472.1,1273.0
1420,MT345805,USA,[21555:25377](+),3822.0,QJA16484.1,1273.0
1421,MT345806,USA,[21548:25370](+),3822.0,QJA16496.1,1273.0
1422,MT345807,USA,[21181:25003](+),3822.0,QJA16508.1,1273.0
1423,MT345808,USA,[21387:25209](+),3822.0,QJA16520.1,1273.0
1424,MT345809,USA,[21561:25383](+),3822.0,QJA16532.1,1273.0
1425,MT345810,USA,[21117:24939](+),3822.0,QJA16544.1,1273.0
1426,MT345811,USA,[21548:25370](+),3822.0,QJA16556.1,1273.0
1427,MT345812,USA,[21407:25229](+),3822.0,QJA16568.1,1273.0
1428,MT345813,USA,[21199:25021](+),3822.0,QJA16580.1,1273.0
1429,MT345814,USA,[21393:25215](+),3822.0,QJA16592.1,1273.0
1430,MT345815,USA,[21545:25367](+),3822.0,QJA16604.1,1273.0
1431,MT345816,USA,[21527:25349](+),3822.0,QJA16616.1,1273.0
1432,MT345817,USA,[21531:25353](+),3822.0,QJA16628.1,1273.0
1433,MT345818,USA,[21285:25107](+),3822.0,QJA16640.1,1273.0
1434,MT345819,USA,[21551:25373](+),3822.0,QJA16652.1,1273.0
1435,MT345820,USA,[21239:25061](+),3822.0,QJA16664.1,1273.0
1436,MT345821,USA,[21317:25139](+),3822.0,QJA16676.1,1273.0
1437,MT345822,USA,[21436:25258](+),3822.0,QJA16688.1,1273.0
1438,MT345823,USA,[21515:25337](+),3822.0,QJA16700.1,1273.0
1439,MT345824,USA,[21461:25283](+),3822.0,QJA16712.1,1273.0
1440,MT345825,USA,[21538:25360](+),3822.0,QJA16724.1,1273.0
1441,MT345826,USA,[21534:25356](+),3822.0,QJA16736.1,1273.0
1442,MT345827,USA,[21531:25353](+),3822.0,QJA16748.1,1273.0
1443,MT345828,USA,[21551:25373](+),3822.0,QJA16760.1,1273.0
1444,MT345829,USA,[21520:25342](+),3822.0,QJA16772.1,1273.0
1445,MT345830,USA,[21547:25369](+),3822.0,QJA16784.1,1273.0
1446,MT345831,USA,[21399:25221](+),3822.0,QJA16794.1,1273.0
1447,MT345832,USA,[21539:25361](+),3822.0,QJA16808.1,1273.0
1448,MT345833,USA,[21552:25374](+),3822.0,QJA16820.1,1273.0
1449,MT345834,USA,[21554:25376](+),3822.0,QJA16832.1,1273.0
1450,MT345835,USA,[21531:25353](+),3822.0,QJA16844.1,1273.0
1451,MT345836,USA,[21531:25353](+),3822.0,QJA16856.1,1273.0
1452,MT345837,USA,[20996:24818](+),3822.0,QJA16868.1,1273.0
1453,MT345838,USA,[21310:25132](+),3822.0,QJA16880.1,1273.0
1454,MT345839,USA,[21257:25079](+),3822.0,QJA16899.1,1273.0
1455,MT345840,USA,[21556:25378](+),3822.0,QJA16904.1,1273.0
1456,MT345841,USA,[21556:25378](+),3822.0,QJA16916.1,1273.0
1457,MT345842,USA,[21356:25178](+),3822.0,QJA16928.1,1273.0
1458,MT345843,USA,[21531:25353](+),3822.0,QJA16940.1,1273.0
1459,MT345844,USA,[21468:25290](+),3822.0,QJA16952.1,1273.0
1460,MT345845,USA,[21531:25353](+),3822.0,QJA16973.1,1273.0
1461,MT345846,USA,[21531:25353](+),3822.0,QJA16976.1,1273.0
1462,MT345847,USA,[21523:25345](+),3822.0,QJA16988.1,1273.0
1463,MT345848,USA,[21551:25373](+),3822.0,QJA17000.1,1273.0
1464,MT345849,USA,[21536:25358](+),3822.0,QJA17012.1,1273.0
1465,MT345850,USA,[21531:25353](+),3822.0,QJA17024.1,1273.0
1466,MT345851,USA,[21305:25127](+),3822.0,QJA17036.1,1273.0
1467,MT345852,USA,[21531:25353](+),3822.0,QJA17048.1,1273.0
1468,MT345853,USA,[21537:25359](+),3822.0,QJA17060.1,1273.0
1469,MT345854,USA,[21530:25352](+),3822.0,QJA17072.1,1273.0
1470,MT345855,USA,[21522:25344](+),3822.0,QJA17084.1,1273.0
1471,MT345856,USA,[21531:25353](+),3822.0,QJA17096.1,1273.0
1472,MT345857,USA,[21300:25122](+),3822.0,QJA17108.1,1273.0
1473,MT345858,USA,[21531:25353](+),3822.0,QJA17120.1,1273.0
1474,MT345859,USA,[21506:25328](+),3822.0,QJA17132.1,1273.0
1475,MT345860,USA,[21446:25268](+),3822.0,QJA17144.1,1273.0
1476,MT345861,USA,[21530:25352](+),3822.0,QJA17156.1,1273.0
1477,MT345862,USA,[21542:25364](+),3822.0,QJA17168.1,1273.0
1478,MT345863,USA,[21209:25031](+),3822.0,QJA17180.1,1273.0
1479,MT345864,USA,[21026:24848](+),3822.0,QJA17192.1,1273.0
1480,MT345865,USA,[21545:25367](+),3822.0,QJA17204.1,1273.0
1481,MT345866,USA,[21531:25353](+),3822.0,QJA17216.1,1273.0
1482,MT345867,USA,[21531:25353](+),3822.0,QJA17228.1,1273.0
1483,MT345868,USA,[21540:25362](+),3822.0,QJA17240.1,1273.0
1484,MT345869,USA,[21556:25378](+),3822.0,QJA17252.1,1273.0
1485,MT345870,USA,[21532:25354](+),3822.0,QJA17264.1,1273.0
1486,MT345871,USA,[21562:25384](+),3822.0,QJA17276.1,1273.0
1487,MT345872,USA,[21531:25353](+),3822.0,QJA17288.1,1273.0
1488,MT345873,USA,[21552:25374](+),3822.0,QJA17300.1,1273.0
1489,MT345874,USA,[21531:25353](+),3822.0,QJA17312.1,1273.0
1490,MT345875,USA,[21550:25372](+),3822.0,QJA17324.1,1273.0
1491,MT345876,USA,[21532:25354](+),3822.0,QJA17336.1,1273.0
1492,MT345877,USA,[21562:25384](+),3822.0,QJA17348.1,1273.0
1493,MT345878,USA,[21528:25350](+),3822.0,QJA17360.1,1273.0
1494,MT345879,USA,[21547:25369](+),3822.0,QJA17372.1,1273.0
1495,MT345880,USA,[21515:25337](+),3822.0,QJA17384.1,1273.0
1496,MT345881,USA,[21533:25355](+),3822.0,QJA17396.1,1273.0
1497,MT345882,USA,[21552:25374](+),3822.0,QJA17408.1,1273.0
1498,MT345883,USA,[21533:25355](+),3822.0,QJA17420.1,1273.0
1499,MT345884,USA,[21513:25335](+),3822.0,QJA17432.1,1273.0
1500,MT345885,USA,[21532:25354](+),3822.0,QJA17444.1,1273.0
1501,MT345886,USA,[21535:25357](+),3822.0,QJA17456.1,1273.0
1502,MT345887,USA,[21540:25362](+),3822.0,QJA17468.1,1273.0
1503,MT345888,USA,[21541:25363](+),3822.0,QJA17480.1,1273.0
1504,MT339039,USA,[21555:25377](+),3822.0,QIZ97039.1,1273.0
1505,MT339040,USA,[21547:25369](+),3822.0,QIZ97051.1,1273.0
1506,MT339041,USA,[21562:25384](+),3822.0,QIZ97062.1,1273.0
1507,MT334522,USA,[21523:25345](+),3822.0,QIZ64265.1,1273.0
1508,MT334523,USA,[21560:25382](+),3822.0,QIZ64278.1,1273.0
1509,MT334524,USA,[21523:25345](+),3822.0,QIZ64289.1,1273.0
1510,MT334525,USA,[21559:25381](+),3822.0,QIZ64301.1,1273.0
1511,MT334526,USA,[21555:25377](+),3822.0,QIZ64314.1,1273.0
